,AF3,F3,T7,O1,P8,FC6,F8
0,3983.828125,4703.71875,4719.0140625,4024.565625,4510.1046875,4306.975,4396.9875
1,3970.5703125,4712.9015625,4693.9578125,4045.4984375,4459.7890625,4307.828125,4413.275
2,3970.43125,4702.2046875,4712.040625,4043.990625,4519.025,4315.6375,4380.6625
3,3981.2234375,4726.078125,4707.0921875,4023.665625,4500.7578125,4317.4609375,4404.1234375
4,3970.3875,4695.73125,4691.2015625,4032.7296875,4500.8828125,4266.378125,4406.9515625
5,3979.78125,4713.0578125,4705.4171875,4037.8453125,4505.6953125,4314.590625,4404.7296875
6,4014.9390625,4753.3125,4740.1203125,4082.9984375,4538.5578125,4352.5484375,4416.0125
7,3971.1578125,4709.7546875,4698.8671875,4031.2625,4496.05625,4308.390625,4384.2359375
8,3950.2015625,4688.2515625,4701.603125,4012.00625,4480.4875,4305.16875,4384.9875
9,4007.0953125,4697.984375,4697.0734375,4035.2921875,4507.7828125,4303.3125,4403.93125
10,3993.5046875,4705.26875,4742.0359375,4054.321875,4529.6296875,4290.603125,4423.4609375
11,3980.4125,4695.825,4712.5171875,4030.55,4506.9984375,4316.296875,4393.4890625
12,3940.828125,4668.5046875,4665.35,4005.44375,4466.0765625,4281.621875,4375.690625
20,3989.99375,4715.8390625,4708.809375,4027.20625,4528.696875,4297.996875,4403.8046875
21,3976.065625,4710.4890625,4702.115625,4051.2953125,4420.5125,4312.4515625,4402.2
22,3970.9984375,4701.296875,4710.3203125,4022.0390625,4500.675,4298.2125,4407.6015625
23,3960.26875,4700.915625,4697.8140625,4018.053125,4497.1953125,4308.01875,4398.5671875
24,3978.5828125,4708.34375,4699.153125,4038.04375,4497.0125,4307.24375,4419.071875
25,3977.0828125,4711.765625,4705.875,4037.3984375,4501.796875,4321.0171875,4412.5859375
26,4018.1703125,4748.8921875,4749.1671875,4071.73125,4493.1203125,4337.7,4438.4671875
27,3997.528125,4717.8375,4715.5953125,4042.5828125,4512.16875,4316.765625,4392.109375
28,3924.2296875,4691.8625,4702.7390625,4004.55,4495.334375,4315.96875,4397.3328125
29,3999.6234375,4700.3265625,4694.31875,4041.696875,4508.6515625,4313.240625,4411.9140625
30,3973.8703125,4703.228125,4721.1046875,4044.178125,4509.9453125,4299.15625,4410.671875
31,3991.18125,4714.2328125,4720.54375,4038.45,4509.846875,4323.99375,4398.475
32,3935.2671875,4682.3859375,4688.603125,4004.6671875,4437.3796875,4269.9671875,4379.8109375
