,AF3,F3,T7,O1,P8,FC6,F8,X
1281,4143.000000000001,4860.999999999999,4560.999999999999,4211.999999999999,4471.000000000001,4216.999999999999,4383.0,10.0078125
1288,4131.000000000001,4849.999999999999,4556.999999999999,4203.0,4461.0,4215.000000000001,4378.0,10.0625
1295,4124.0,4845.0,4562.0,4199.0,4470.0,4203.0,4376.000000000001,10.1171875
1302,4133.0,4849.0,4571.0,4203.0,4480.0,4219.0,4394.0,10.171875
1309,4141.0,4853.0,4565.0,4202.0,4440.000000000001,4232.999999999999,4390.0,10.2265625
1316,4149.0,4859.0,4577.0,4194.000000000001,4454.0,4242.0,4414.0,10.28125
1323,4129.000000000001,4845.0,4566.0,4190.999999999999,4442.0,4240.999999999999,4397.0,10.3359375
1330,4108.000000000001,4833.0,4567.0,4190.999999999999,4428.0,4234.0,4386.0,10.390625
1337,4108.999999999999,4837.0,4560.0,4190.999999999999,4418.0,4239.0,4380.0,10.4453125
1344,4095.0,4822.0,4566.0,4124.0,4411.0,4226.0,4367.0,10.5
1351,4094.0,4823.0,4562.0,4108.000000000001,4411.0,4239.0,4371.0,10.5546875
1358,4088.0,4805.0,4546.0,4090.0,4428.0,4247.0,4368.999999999999,10.609375
1365,4076.0,4796.999999999999,4528.999999999999,4091.0,4386.0,4226.0,4339.000000000001,10.6640625
1372,4065.0,4784.999999999999,4514.0,4069.0,4385.000000000001,4211.000000000001,4334.0,10.71875
1379,4064.0,4786.0,4493.999999999999,4067.0,4388.0,4223.0,4326.0,10.7734375
1386,4057.0,4784.0,4522.0,4076.0,4365.999999999999,4224.0,4289.0,10.828125
1393,4066.000000000001,4792.000000000001,4536.000000000001,4083.999999999999,4378.0,4225.0,4300.999999999999,10.8828125
1400,4048.0,4767.0,4514.0,4070.0,4368.0,4235.0,4295.999999999999,10.9375
1407,4047.000000000001,4766.000000000001,4511.0,4062.0,4378.0,4229.0,4297.0,10.9921875
1414,4045.999999999999,4765.0,4504.000000000001,4054.0,4368.0,4230.0,4299.0,11.046875
1421,4048.999999999999,4765.0,4516.0,4067.0,4372.0,4236.999999999999,4304.0,11.1015625
1428,4067.0,4783.000000000001,4526.0,4068.0,4398.0,4262.0,4341.0,11.15625
1435,4059.0,4779.0,4534.000000000001,4064.0,4398.0,4253.0,4330.0,11.2109375
1442,4056.000000000001,4768.0,4526.0,4060.999999999999,4400.999999999999,4256.0,4338.000000000001,11.265625
1449,4036.0,4751.0,4532.0,4062.0,4399.000000000001,4243.0,4312.000000000001,11.3203125
1456,4044.0,4750.000000000001,4526.0,4064.0,4381.999999999999,4247.0,4318.999999999999,11.375
1463,4039.999999999999,4748.999999999999,4539.0,4062.0,4393.0,4251.0,4331.0,11.4296875
1470,4039.999999999999,4755.0,4536.000000000001,4057.0,4370.0,4262.0,4323.0,11.484375
1477,4028.999999999999,4744.0,4538.0,4059.0,4394.0,4251.0,4315.0,11.5390625
1484,4034.0,4744.999999999999,4548.0,4055.0,4376.000000000001,4266.0,4321.0,11.59375
1491,4034.0,4750.000000000001,4544.0,4060.999999999999,4393.0,4261.0,4324.0,11.6484375
1498,4021.0,4739.000000000001,4528.999999999999,4052.0,4395.0,4271.000000000001,4332.0,11.703125
1505,3995.0,4715.0,4522.0,4041.999999999999,4388.0,4266.0,4321.0,11.7578125
1512,4005.0,4723.000000000001,4524.0,4047.000000000001,4408.000000000001,4274.000000000001,4320.0,11.8125
1519,4011.0,4735.0,4531.000000000001,4052.0,4402.000000000001,4284.999999999999,4315.0,11.8671875
1526,3999.0,4726.0,4536.999999999999,4041.0,4421.0,4289.0,4307.0,11.921875
1533,4003.000000000001,4723.000000000001,4538.0,4041.0,4394.0,4284.0,4290.0,11.9765625
1540,3993.0,4714.0,4531.000000000001,4047.000000000001,4415.0,4284.0,4289.0,12.03125
1547,4000.0,4722.000000000001,4545.0,4039.000000000001,4435.0,4297.0,4307.0,12.0859375
1554,3997.0,4722.000000000001,4543.0,4044.999999999999,4446.0,4297.0,4286.0,12.140625
1561,3987.0,4714.0,4528.999999999999,4037.0,4421.0,4294.0,4266.0,12.1953125
1568,3979.0,4710.0,4534.000000000001,4041.0,4416.0,4297.0,4263.0,12.25
1575,3963.0,4699.0,4508.0,4033.0,4406.000000000001,4316.0,4251.0,12.3046875
1582,3957.0,4698.0,4501.0,4028.999999999999,4393.0,4322.000000000001,4250.0,12.359375
1589,3920.999999999999,4675.000000000001,4491.0,4016.999999999999,4372.0,4303.000000000001,4222.0,12.4140625
1596,3905.0,4664.000000000001,4483.000000000001,4012.0,4329.0,4297.0,4209.0,12.46875
